Award Number,Month,Year,City,Zip,Charging Station Brand,County,Cost of Charging Station,Rebate Amount
WCS0421949,4,2021,Wilmington,19803,ChargePoint,New Castle,7210.00,5407.50
WCS0821950,8,2021,Wilmington,19810,Leviton,New Castle,4880.00,3660.00
WCS0921950,9,2021,Dover,19901,Juice Box,Kent,599.99,449.99
WCS1021951,10,2021,Wilmington,19806,Gateway North America,New Castle,30024.00,21000.00
WCS1121952,11,2021,Wilmington,19803,ChargePoint,New Castle,9072.67,6804.50
WCS1121953,11,2021,Wilmington,19803,ChargePoint,New Castle,9072.67,6804.50
WCS1121954,11,2021,Wilmington,19803,ChargePoint,New Castle,9072.67,6804.50
WCS1121955,11,2021,Wilmington,19803,ChargePoint,New Castle,9072.67,6804.50
WCS1121956,11,2021,Wilmington,19803,ChargePoint,New Castle,9072.67,6804.50
WCS1121957,11,2021,Wilmington,19803,ChargePoint,New Castle,9072.67,6804.50
WCS1121958,11,2021,Wilmington,19801,Lilypad,New Castle,11474.50,7000.00
WCS1121959,11,2021,Wilmington,19801,Lilypad,New Castle,11474.50,7000.00
WCS1221960,12,2021,Wilmington,19808,Ford,New Castle,799.00,599.00
WCS0322961,3,2022,Wilmington,19802,Juicebox,New Castle,76520.00,3500.00
WCS0522958,5,2022,Wilmington,19803,ChargePoint,New Castle,7210.00,5407.50
WCS0522959,5,2022,Wilmington,19803,ChargePoint,New Castle,7210.00,5407.50
WCS0522960,5,2022,Wilmington,19803,ChargePoint,New Castle,7210.00,5407.50
WCS0522961,5,2022,Wilmington,19803,ChargePoint,New Castle,7210.00,5407.50
WCS0522962,5,2022,Wilmington,19803,ChargePoint,New Castle,7210.00,5407.50
WCS0522963,5,2022,Wilmington,19803,ChargePoint,New Castle,7210.00,5407.50
WCS0522964,5,2022,Wilmington,19802,Verdek,New Castle,9077.00,7000.00
WCS0522965,5,2022,Harrington,19952,ChargePoint,Kent,699.00,524.25
WCS0522966,5,2022,Bear,19701,Sema Connect,New Castle,7034.29,5085.00
WCS1022975,9,2022,New Castle,19720,Sema Connect,New Castle,4740.00,4266.00
WCS1022976,9,2022,New Castle,19720,Sema Connect,New Castle,4740.00,4266.00
WCS1122977,10,2022,New Castle,19938,Charge Point,New Castle,14904.00,7000.00
WCS1122978,10,2022,New Castle,19938,Charge Point,New Castle,14904.00,7000.00
FCS0423002,4,2023,Newark,19711,ChargePoint,New Castle,8242.00,7000.00
FCS0423003,4,2023,Newark,19711,Blink,New Castle,2498.25,1873.69
FCS0423004,4,2023,Newark,19711,Blink,New Castle,3588.00,2691.00
GFCS0720001,7,2020,Rehoboth Beach,19971,Clipper Creek,Sussex,635.00,571.50
GFCS0720002,7,2020,Newark,19711,Clipper Creek,New Castle,635.00,571.50
GFCS0720003,7,2020,Felton,19943,Clipper Creek,Kent,635.00,571.50
GFCS0720004,7,2020,Laurel,19956,Clipper Creek,Sussex,635.00,571.50
GFCS0521005,5,2021,New Castle,19720,Leviton,New Castle,4558.34,4102.51
GFCS0521006,5,2021,Dover,19904,Leviton,Kent,3694.70,3325.23
GFCS0521007,5,2021,Georgetown,19947,Leviton,Sussex,3246.04,2921.44
MDCS0820001,8,2020,Newark,19711,BTC,New Castle,10015.00,7000.00
MDCS1220002,12,2020,Wilmington,19805,Siemans,New Castle,494.12,444.71
MDCS1220003,12,2020,Wilmington,19809,Siemans,New Castle,494.12,444.71
MDCS1220004,12,2020,Wilmington,19805,Siemans,New Castle,494.12,444.71
MDCS0121005,1,2021,Millsboro,19966,SemaConnect,Sussex,6380.00,4785.00
MDCS0121006,1,2021,Millsboro,19966,SemaConnect,Sussex,6380.00,4785.00
MDCS0121007,1,2021,Millsboro,19966,SemaConnect,Sussex,6380.00,4785.00
MDCS0121008,1,2021,Lewes,19958,SemaConnect,Sussex,6380.00,4785.00
MDCS0121009,1,2021,Lewes,19958,SemaConnect,Sussex,6380.00,4785.00
MDCS0521010,5,2021,Wilmington,19801,Wallbox,New Castle,2596.00,2336.40
MDCS0921011,9,2021,Wilmington,19803,Sema Connect,New Castle,13560.00,12204.00
MDCS0921012,9,2021,Wilmington,19803,Sema Connect,New Castle,13560.00,12204.00
MDCS0921013,9,2021,Wilmington,19803,Sema Connect,New Castle,13560.00,12204.00
MDCS0921014,9,2021,Wilmington,19803,Sema Connect,New Castle,13560.00,12204.00
MDCS1221015,12,2021,Newark,19711,Juicebox,New Castle,24790.00,22311.00
MDCS1221016,12,2021,Newark,19711,Juicebox,New Castle,24790.00,22311.00
MDCS1221017,12,2021,Newark,19711,Juicebox,New Castle,2479.00,22311.00
MDCS0122018,1,2022,Newark,19711,Juicebox,New Castle,12395.00,11155.50
MDCS0122019,1,2022,Newark,19711,Juicebox,New Castle,17353.00,15617.70
MDCS0122020,1,2022,Newark,19711,Juicebox,New Castle,24790.00,22311.00
MDCS0122021,1,2022,Newark,19711,Juicebox,New Castle,24790.00,22311.00
MDCS0122022,1,2022,Newark,19711,Juicebox,New Castle,9916.00,8924.40
MDCS0122023,1,2022,Newark,19711,Juicebox,New Castle,12395.00,11155.50
MDCS0122024,1,2022,Wilmington,19801,Juicebox,New Castle,13990.00,12591.00
MDCS0122025,1,2022,Wilmington,19801,Juicebox,New Castle,13990.00,12591.00
MDCS0122026,1,2022,Wilmington,19801,Juicebox,New Castle,13990.00,12591.00
MDCS0122027,1,2022,Newark,19711,Juicebox,New Castle,20985.00,18886.50
MDCS0122028,1,2022,Newark,19711,Juicebox,New Castle,24790.00,22311.00
MDCS0222029,2,2022,Newark,19711,Juicebox,New Castle,22311.00,20079.90
MDCS0222030,2,2022,Newark,19711,Juicebox,New Castle,17600.00,15840.00
MDCS0222031,2,2022,Newark,19713,Juicebox,New Castle,22000.00,19800.00
MDCS0222032,2,2022,Newark,19713,Juicebox,New Castle,22000.00,19800.00
MDCS0222033,2,2022,Newark,19711,Juicebox,New Castle,12395.00,11155.50
MDCS0222034,2,2022,Newark,19711,Juicebox,New Castle,7437.00,6693.30
MDCS0222035,2,2022,Newark,19713,Juicebox,New Castle,22000.00,19800.00
MDCS0222036,2,2022,Newark,19711,Juicebox,New Castle,24790.00,22311.00
MDCS0222037,2,2022,Newark,19711,Juicebox,New Castle,14874.00,13386.60
MDCS0222038,2,2022,Newark,19713,Juicebox,New Castle,22000.00,19800.00
MDCS0222039,2,2022,Newark,19711,Juicebox,New Castle,12395.00,11155.50
MDCS0322040,3,2022,Newark,19711,Juicebox,New Castle,24790.00,22311.00
MDCS0322041,3,2022,Newark,19711,Juicebox,New Castle,24790.00,22311.00
MDCS0322042,3,2022,Newark,19711,Juicebox,New Castle,24790.00,22311.00
MDCS0322043,3,2022,Newark,19711,Juicebox,New Castle,19832.00,17848.80
MDCS0422044,4,2022,Newark,19711,Juicebox,New Castle,34975.00,31477.50
MDCS0422045,4,2022,Newark,19711,Juicebox,New Castle,34975.00,31477.50
MDCS0422046,4,2022,Newark,19711,Juicebox,New Castle,34975.00,31477.50
MDCS0422047,4,2022,Newark,19711,Juicebox,New Castle,34975.00,31477.50
MDCS0822048,7,2022,Wilmington,19801,Juicebox,New Castle,6995.00,5246.25
MDCS0822049,8,2022,Bethany Beach,19930,Juicebox,New Castle,34785.00,12816.00
MDCS1022050,10,2022,Newark,19711,Juicebox,New Castle,8595.00,38677.50
MDCS1022051,10,2022,Newark,19711,Juicebox,New Castle,8595.00,38677.50
MDCS1022052,10,2022,Newark,19711,Juicebox,New Castle,8595.00,38677.50
MDCS1022053,10,2022,Newark,19711,Juicebox,New Castle,8595.00,38677.50
MDCS1022054,10,2022,Newark,19711,Juicebox,New Castle,8595.00,38677.50
MDCS1022055,10,2022,Newark,19711,Juicebox,New Castle,8595.00,38677.50
MDCS1022056,10,2022,Newark,19711,Juicebox,New Castle,8595.00,38677.50
MDCS1122057,10,2022,Westport,6880,Juicebox,New Castle,15340.00,13806.00
MDCS1122058,11,2022,Seaford,19973,Juicebox,New Castle,29930.00,26937.00
MDCS1122059,11,2022,Elkton,19711,Juicebox,New Castle,1495.00,13455.00
MDCS0223061,2,2023,Wilmington,19801,JuicePedastal,New Castle,13990.00,23591.00
MDCS0423063,2,2023,Lewes,19971,SemaConnect,Sussex,7200.00,6480.00
MDCS0423064,2,2023,Bear,19701,JuicePedastal,New Castle,1495.00,13455.00
